sampleID	Subtype_mRNA	ACO2	ATP6V1D	C19orf25	DDX3X	DNAJC9	EIF1AX	FAM50A	MCL1	MDM2	MED9	MRPS11	PELO	SIN3A	SLC2A1	UBC	USP7	VHL	WDR73
TCGA-B9-A5W7-01	TCGA-C1	-1.26884565040443	1.46002186702661	1.80290600929665	-0.411806245751497	1.13851184378402	-0.38052794418285	0.473025066178146	2.03314221797877	-1.00315217820163	1.74616039681757	-1.03426606051637	-1.15050694562463	1.96587693142704	0.799131137412764	1.98703959937018	-1.15514815239594	0.450510041095609	1.14597727848812
TCGA-B9-A5W9-01	TCGA-C1	-0.476540620650572	0.518552626579747	1.0787545247168	-0.089528341898767	0.115112871773048	-0.432788864493449	0.514753255107736	1.00988064150939	-0.373334397626657	0.130272543067475	-0.289678088761758	-0.594093872967822	1.27730728575213	-0.043363644814779	1.01212079137526	-0.58112731706193	-0.568896082529879	-0.0827984818687623
TCGA-BQ-7051-01	TCGA-C1	0.135920140050377	0.00166593338219243	-0.123159267673146	-1.15218510365771	0.0838153653099295	-1.44775872779759	-0.956433241165236	0.042060327699463	-0.528681290570099	-0.356033933464181	-0.499052063842405	-0.598120977725518	-0.469028419779927	-0.763538284857665	0.712929452024504	-0.239949929339679	-0.119567242632476	1.9207278470889
TCGA-DW-5560-01	TCGA-C1	-1.53302423771494	0.384697524187495	1.39415965554551	-1.25680504407296	0.916456051042818	-1.40709001570883	0.418035379722507	0.510564501126891	-0.770480892443259	1.02340585510609	-1.29564880596098	-1.27741229636061	0.0933868422870019	-0.0270762259900484	0.247827452515849	-0.524390846565645	-0.310011406154101	1.24150223396868
TCGA-DW-5561-01	TCGA-C1	-0.710938659448332	0.349804936297871	1.11047761013852	0.191970923005075	0.0047852912944344	0.434909478824045	-0.209708899589629	0.61251332980404	0.445664272040168	0.41924806054209	-0.323114074999371	-0.876682233125841	0.26159437089635	0.0375622716305709	0.847725509936007	0.461519055069027	-0.797151151530174	-0.385552967784254
TCGA-DW-7834-01	TCGA-C1	-1.41783131996649	0.518947337832131	0.675699844558642	-1.00978826909311	0.600410928242694	-1.02816261803881	0.435075469719127	1.32196035775333	-1.22821972413971	1.24932546039868	-1.16992913416374	-1.47548423487725	0.936202131053313	0.0762584095397353	0.285525444208384	-1.39345801806371	-0.179116218063966	0.873422070549472
TCGA-DW-7836-01	TCGA-C1	-2.04497113498104	1.63132123115526	1.7118555626484	0.460599282973607	0.325959684279836	0.661973490312135	1.12409445595536	0.163494556393155	-0.908739919917603	1.12300072157859	-1.57262136281163	-1.50002735792964	2.14017787992723	1.45228968054445	1.81481606986042	-1.28580267177742	-0.618156949566029	0.74119427926498
TCGA-DW-7837-01	TCGA-C1	-1.82156287468359	0.681020871109533	0.943021343413332	-0.922245830996615	0.302112896477197	-0.666198200898902	-0.742759012979333	-0.293551916414287	-0.64878108304491	0.804729062914273	-0.935885362401699	-1.41051848014624	0.277621014574577	1.03420827819023	0.992071095522213	-0.853190706114647	0.0806321131646607	0.693478760033631
TCGA-DW-7839-01	TCGA-C1	0.360142060543068	0.192563574180483	0.0837793282949239	-1.13355937798825	0.773495913738438	-1.03375295600728	0.783015595697105	0.559271624843543	-0.678295258695677	-0.1942427128635	-0.270468624601611	-0.201242500814929	-0.791303232626822	0.0759952943094719	0.957621546417041	-0.339343352354006	-0.327593370511769	0.734438058571774
TCGA-DW-7840-01	TCGA-C1	-0.484072343321118	0.279811454838333	0.933638900101025	0.0888491055795421	0.695267093006592	0.220386469067083	0.562576645498498	0.57324424821817	-0.65228006445933	0.86080215137422	-1.08980790280341	-1.03237444806012	0.885696341321672	1.13129199913468	0.846255714306485	-0.61057052373951	-0.500892998322629	0.944846745281761
